count,Participant ID,Condition_String,Condition_Numeric,Gender_String,Gender_Numeric,Age_Group_String,Age_Group_Numeric,Location_String,Location_Numeric,First,Commitment_First,Commitment_First_and_Second,Help_N/Y,Helping_Latency,Approach_N/Y,Commitment_Latency,Latency_ceiling,Leave_Taking_Type,Leave_Taking_Type_Recoded,Number_of_Erasers_Shared,Number_of_Erasers_Shared_Recoded,Age (years),Age (days),,AgeStndrd,,,,
62,1,We,1,Female,1,Older,1,MOLS,0,3,99,3,1,44,0,99,60,99,99,0,0,3.909758,1427.06167,1287.032538,0.665562045,,,,
33,2,You,0,Male,0,Younger,0,MOLS,0,2,99,99,1,14,0,99,60,99,99,0,0,3.1513525,1150.243663,210.3923045,-0.650161019,,,,
34,3,You,0,Male,0,Younger,0,MOLS,0,3,99,3,1,32,0,99,60,99,99,4,1,3.3375315,1218.198998,,-0.327167575,,,,
49,4,We,1,Male,0,Younger,0,MOLS,0,2,99,99,0,99,0,99,60,99,99,3,1,3.4744278,1268.166147,,-0.089672436,,,,
53,5,We,1,Male,0,Older,1,MOLS,0,3,99,3,1,10,0,99,60,99,99,2,0,3.5702552,1303.143148,,0.076574143,,,,
36,6,You,0,Male,0,Older,1,MOLS,0,3,99,3,1,19,0,99,60,99,99,0,0,3.5976344,1313.136556,,0.124073067,,,,
54,8,We,1,Male,0,Older,1,Marbles,1,3,99,3,1,5,0,99,60,99,99,2,0,4.350564,1587.95586,,1.430296242,,,,
41,9,You,0,Female,1,Younger,0,Marbles,1,2,99,99,1,7,1,40,40,0,0,0,0,3.3676487,1229.191776,,-0.27491862,,,,
37,10,You,0,Male,0,Older,1,Marbles,1,3,99,3,1,21,0,99,60,99,99,2,0,3.7208411,1358.107002,,0.337818744,,,,
50,11,We,1,Male,0,Younger,0,Marbles,1,2,99,99,1,41,1,18,18,0,0,0,0,2.7078086,988.350139,,-1.419645073,,,,
51,12,We,1,Male,0,Younger,0,Lab,2,3,99,3,1,5,1,43,43,2,1,3,1,2.8145877,1027.324511,,-1.234398889,,,,
42,13,You,0,Female,1,Younger,0,MOLS,0,2,99,99,1,44,0,99,60,99,99,0,0,2.6157191,954.7374715,,-1.579406941,,,,
38,14,You,0,Male,0,Older,1,MOLS,0,3,99,3,1,12,0,99,60,99,99,0,0,4.0603439,1482.025524,,0.926806645,,,,
55,15,We,1,Male,0,Older,1,MOLS,0,2,99,99,1,41,1,48,48,0,0,4,1,3.8549995,1407.074818,,0.570564024,,,,
43,18,You,0,Female,1,Younger,0,MOLS,0,3,99,3,1,48,1,46,46,0,0,2,0,3.2526558,1187.219367,,-0.47441455,,,,
56,19,We,1,Male,0,Older,1,MOLS,0,2,99,99,1,9,0,99,60,99,99,3,1,4.462819,1628.928935,,1.625042314,,,,
57,21,We,1,Female,1,Younger,0,Marbles,1,2,99,99,0,24,1,41,41,1,1,1,0,2.568174351,937.3836382,,-1.661890154,,,,
63,23,We,1,Female,1,Older,1,Marbles,1,3,99,3,1,5,0,99,60,99,99,2,0,4.150695433,1515.003833,,1.083553394,,,,
39,26,You,0,Male,0,Older,1,Marbles,1,3,99,3,1,41,0,99,60,99,99,1,0,3.833096046,1399.080057,,0.532564723,,,,
52,28,We,1,Male,0,Younger,0,MOLS,0,3,99,3,1,41,0,99,60,99,99,1,0,3.236228233,1181.223305,,-0.502913985,,,,
58,31,We,1,Female,1,Younger,0,Lab,2,2,99,99,1,18,1,19,19,1,1,0,0,2.644836272,965.3652393,,-1.528892889,,,,
